kode_prov,nama_prov,jenis_pdrb,kode_komp,nama_komp,nilai_jt
14,Riau,PRODUKSI,I-17,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya ",678214.8424303734
14,Riau,PRODUKSI,I-18,"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman ",22071021.793195266
14,Riau,PRODUKSI,I-19,"Industri Kimia, Farmasi dan Obat Tradisional",11281214.679260021
14,Riau,PRODUKSI,I-20,"Industri Karet, Barang dari Karet dan Plastik",1492034.0980856614
14,Riau,PRODUKSI,I-21,Industri Barang Galian bukan Logam,792490.6966556722
14,Riau,PRODUKSI,I-22,Industri Logam Dasar ,131108.3285991006
14,Riau,PRODUKSI,I-23,"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",414350.17881143314
14,Riau,PRODUKSI,I-24,Industri Mesin dan Perlengkapan YTDL,4800.817745074511
14,Riau,PRODUKSI,I-25,Industri Alat Angkutan,140283.38394155126
14,Riau,PRODUKSI,I-26,Industri Furnitur,762225.5351897405
14,Riau,PRODUKSI,I-27,"Industri Pengolahan Lainnya, Jasa Reparasi dan Pemasangan Mesin dan Peralatan",471788.39998794504
14,Riau,PRODUKSI,I-28,Ketenagalistrikan ,1118186.170620141
14,Riau,PRODUKSI,I-29,Pengadaan Gas dan Produksi Es,348478.90640414174
14,Riau,PRODUKSI,I-30,"Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang",240979.4889616415
14,Riau,PRODUKSI,I-31,Konstruksi,45776159.12241724
14,Riau,PRODUKSI,I-32,"Perdagangan Mobil, Sepeda Motor dan Reparasinya",8210324.511858157
14,Riau,PRODUKSI,I-33,"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",56731720.78549717
14,Riau,PRODUKSI,I-34,Angkutan Rel ,0
14,Riau,PRODUKSI,I-35,Angkutan Darat,4209930.301230384
14,Riau,PRODUKSI,I-36,Angkutan Laut ,1188995.655349283
14,Riau,PRODUKSI,I-37,Angkutan Sungai Danau dan Penyeberangan,348768.63976464333
14,Riau,PRODUKSI,I-38,Angkutan Udara,2558272.567988657
14,Riau,PRODUKSI,I-39,"Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir",1479761.7247703292
14,Riau,PRODUKSI,I-40,Penyediaan Akomodasi ,2596429.215329424
14,Riau,PRODUKSI,I-41,Penyediaan Makan Minum,2942227.4608066934
14,Riau,PRODUKSI,I-42,Jasa Informasi dan Komunikasi,12248323.110814152
14,Riau,PRODUKSI,I-43,Jasa Perantara Keuangan Selain Bank Sentral,5735597.141449728
14,Riau,PRODUKSI,I-44,Asuransi dan Dana Pensiun,1346047.692596438
14,Riau,PRODUKSI,I-45,Jasa Keuangan Lainnya,562428.8675169415
14,Riau,PRODUKSI,I-46,Jasa Penunjang Keuangan,176223.63409289607
14,Riau,PRODUKSI,I-47,Real Estate,10968652.156187039
14,Riau,PRODUKSI,I-48,Jasa Perusahaan,6043722.7086742
14,Riau,PRODUKSI,I-49,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",9397751.880781898
14,Riau,PRODUKSI,I-50,Jasa Pendidikan,9017460.45672045
14,Riau,PRODUKSI,I-51,Jasa Kesehatan dan Kegiatan Sosial,5320870.953714814
14,Riau,PRODUKSI,I-52,Jasa Lainnya,7405056.461936712
